bee_id,time_in,os_in,time_out,os_out,in_direction,out_direction
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1122.0,2018-08-19-08-40-07,7.3,2018-08-19-08-40-07,7.9,left,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1122.0,2018-08-19-08-40-07,7.3,2018-08-19-08-40-07,7.9,left,right
1066.0,2018-08-19-09-28-45,1.3,2018-08-19-09-28-45,2.5,right,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1122.0,2018-08-19-08-40-07,7.3,2018-08-19-08-40-07,7.9,left,right
1066.0,2018-08-19-09-28-45,1.3,2018-08-19-09-28-45,2.5,right,right
1568.0,2018-08-19-09-47-39,13.8,2018-08-19-09-47-39,20.9,left,left
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1122.0,2018-08-19-08-40-07,7.3,2018-08-19-08-40-07,7.9,left,right
1066.0,2018-08-19-09-28-45,1.3,2018-08-19-09-28-45,2.5,right,right
1568.0,2018-08-19-09-47-39,13.8,2018-08-19-09-47-39,20.9,left,left
446.0,2018-08-19-09-47-39,20.6,2018-08-19-09-47-39,20.9,left,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1122.0,2018-08-19-08-40-07,7.3,2018-08-19-08-40-07,7.9,left,right
1066.0,2018-08-19-09-28-45,1.3,2018-08-19-09-28-45,2.5,right,right
1568.0,2018-08-19-09-47-39,13.8,2018-08-19-09-47-39,20.9,left,left
446.0,2018-08-19-09-47-39,20.6,2018-08-19-09-47-39,20.9,left,right
446.0,2018-08-19-09-48-00,0.0,2018-08-19-09-48-00,1.2,right,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1122.0,2018-08-19-08-40-07,7.3,2018-08-19-08-40-07,7.9,left,right
1066.0,2018-08-19-09-28-45,1.3,2018-08-19-09-28-45,2.5,right,right
1568.0,2018-08-19-09-47-39,13.8,2018-08-19-09-47-39,20.9,left,left
446.0,2018-08-19-09-47-39,20.6,2018-08-19-09-47-39,20.9,left,right
446.0,2018-08-19-09-48-00,0.0,2018-08-19-09-48-00,1.2,right,right
1568.0,2018-08-19-09-48-00,0.1,2018-08-19-09-48-00,12.0,left,right
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
3890.0,2018-08-19-02-21-58,9.2,2018-08-19-02-21-58,9.3,right,right
1970.0,2018-08-19-02-22-19,0.0,2018-08-19-02-22-19,18.9,right,left
1970.0,2018-08-19-02-22-40,0.4,2018-08-19-02-22-40,10.6,left,left
1697.0,2018-08-19-02-22-40,3.2,2018-08-19-02-22-40,9.3,left,left
220.0,2018-08-19-05-25-51,0.4,2018-08-19-05-25-51,17.8,right,right
3692.0,2018-08-19-06-35-41,0.3,2018-08-19-06-35-41,1.3,left,left
2414.0,2018-08-19-07-10-38,0.0,2018-08-19-07-10-38,7.9,right,left
357.0,2018-08-19-07-16-49,14.0,2018-08-19-07-16-49,15.5,left,right
748.0,2018-08-19-07-16-49,16.6,2018-08-19-07-16-49,18.1,right,left
3925.0,2018-08-19-07-47-52,11.9,2018-08-19-07-47-52,12.6,left,right
433.0,2018-08-19-08-21-08,8.1,2018-08-19-08-21-08,8.7,left,right
481.0,2018-08-19-08-21-08,20.0,2018-08-19-08-21-08,20.9,left,right
388.0,2018-08-19-08-29-06,0.3,2018-08-19-08-29-06,1.1,right,left
1136.0,2018-08-19-08-29-06,7.7,2018-08-19-08-29-06,16.6,left,right
2031.0,2018-08-19-08-29-06,10.7,2018-08-19-08-29-06,10.7,right,right
1148.0,2018-08-19-08-29-06,16.8,2018-08-19-08-29-06,16.8,right,right
1122.0,2018-08-19-08-40-07,7.3,2018-08-19-08-40-07,7.9,left,right
1066.0,2018-08-19-09-28-45,1.3,2018-08-19-09-28-45,2.5,right,right
1568.0,2018-08-19-09-47-39,13.8,2018-08-19-09-47-39,20.9,left,left
446.0,2018-08-19-09-47-39,20.6,2018-08-19-09-47-39,20.9,left,right
446.0,2018-08-19-09-48-00,0.0,2018-08-19-09-48-00,1.2,right,right
1568.0,2018-08-19-09-48-00,0.1,2018-08-19-09-48-00,12.0,left,right
420.0,2018-08-19-09-48-00,13.6,2018-08-19-09-48-00,14.2,left,left
1970.0,2018-08-19-02-21-37,1.6,2018-08-19-02-21-37,20.7,right,left
1970.0,2018-08-19-02-21-58,0.5,2018-08-19-02-21-58,19.9,left,right
